codigo_escola,codigo_municipio,sre,municipio,escola,localizacao,dependencia
17000017,1701002,ARAGUAINA,Ananás,COLEGIO ESTADUAL GETULIO VARGAS,Urbana,Estadual
17000041,1701002,ARAGUAINA,Ananás,ESCOLA ESTADUAL PRESIDENTE COSTA E SILVA,Rural,Estadual
17000068,1701002,ARAGUAINA,Ananás,ESCOLA MUNICIPAL LEONTINO PEREIRA DE SOUSA,Urbana,Municipal
17000106,1701002,ARAGUAINA,Ananás,ESCOLA MUNICIPAL JOAO DIAS BORGES,Urbana,Municipal
17000130,1701002,ARAGUAINA,Ananás,ESCOLA MUNICIPAL MINISTRO MARCOS FREIRE,Urbana,Municipal
17000173,1701002,ARAGUAINA,Ananás,ESCOLA ESTADUAL PAROQUIAL SAO PEDRO,Urbana,Estadual
17000270,1701051,TOCANTINOPOLIS,Angico,ESCOLA MUNICIPAL RAIMUNDO BARBOSA LIMA,Rural,Municipal
17000327,1702208,ARAGUATINS,Araguatins,COLEGIO ESTADUAL LEONIDAS GONCALVES DUARTE,Urbana,Estadual
17000335,1702208,ARAGUATINS,Araguatins,IFTO - CAMPUS ARAGUATINS,Rural,Federal
17000360,1702208,ARAGUATINS,Araguatins,COLEGIO ESTADUAL ATANAZIO DE MOURA SEIXAS,Rural,Estadual
17000378,1702208,ARAGUATINS,Araguatins,ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL DENISE GOMIDE AMUI,Urbana,Estadual
17000386,1702208,ARAGUATINS,Araguatins,ESCOLA ESTADUAL OSVALDO FRANCO,Urbana,Estadual
17000424,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL DE TEMPO INTEGRAL AURELIANO JOSE FERREIRA,Rural,Municipal
17000440,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL BLANDINA SEIXAS,Rural,Municipal
17000661,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL PROFª MARIA APARECIDA MOTA,Rural,Municipal
17000769,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL PADRE VITORIO,Rural,Municipal
17000815,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL PROFESSOR EDGARD TOLENTINO,Rural,Municipal
17000823,1702208,ARAGUATINS,Araguatins,ESC MUL DE 1º GRAU PROF MARIA DE LOURDES MILHOMEM FERNANDES,Urbana,Municipal
17000840,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL DE TEMPO INTEGRAL PROFESSORA NAIR DUARTE,Urbana,Municipal
17000874,1702208,ARAGUATINS,Araguatins,ESCOLA MUNICIPAL RUY BARBOSA,Rural,Municipal
17000998,1702208,ARAGUATINS,Araguatins,ESCOLA ESTADUAL FREI SAVINO,Rural,Estadual
17001005,1702554,ARAGUATINS,Augustinópolis,COLEGIO ESTADUAL MANOEL VICENTE DE SOUZA,Urbana,Estadual
17001013,1702554,ARAGUATINS,Augustinópolis,ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL AUGUSTINOPOLIS,Urbana,Estadual
17001021,1702554,ARAGUATINS,Augustinópolis,ESCOLA ESTADUAL FAZENDA DEZESSEIS,Rural,Estadual
17001030,1702554,ARAGUATINS,Augustinópolis,ESCOLA ESTADUAL SANTA GENOVEVA,Urbana,Estadual
17001048,1702554,ARAGUATINS,Augustinópolis,COLEGIO MILITAR DO ESTADO DO TOCANTINS LA SALLE,Urbana,Estadual
17001056,1702554,ARAGUATINS,Augustinópolis,ESCOLA MUNICIPAL DE TEMPO INTEGRAL BOA VISTA,Urbana,Municipal
17001072,1702554,ARAGUATINS,Augustinópolis,ESCOLA MUNICIPAL EMILIO MEDICI,Rural,Municipal
17001080,1702554,ARAGUATINS,Augustinópolis,ESCOLA MUNICIPAL JARBAS PASSARINHO,Rural,Municipal
17001102,1702554,ARAGUATINS,Augustinópolis,ESCOLA MUNICIPAL PEQUENO PRINCIPE,Urbana,Municipal
17001110,1702554,ARAGUATINS,Augustinópolis,ESC MUL PRES KENNEDY,Urbana,Municipal
17001161,1702901,ARAGUATINS,Axixá do Tocantins,COLEGIO ESTADUAL MARECHAL RIBAS JUNIOR,Urbana,Estadual
17001170,1702901,ARAGUATINS,Axixá do Tocantins,ESCOLA MUNICIPAL JOAO PAULO II,Urbana,Municipal
17001188,1702901,ARAGUATINS,Axixá do Tocantins,ESCOLA ESTADUAL GIRASSOL DE TEMPO INTEGRAL SAO FRANCISCO DE ASSIS,Urbana,Estadual
17001200,1702901,ARAGUATINS,Axixá do Tocantins,ESC MUL BOM JESUS,Urbana,Municipal
17001218,1702901,ARAGUATINS,Axixá do Tocantins,ESC MUL CENTRO DO BARROSO,Rural,Municipal
